"KODEPILKADA","KDWIL","JENISPILKADA","TAHUN PILKADA","BPSKDPROV","PROVINSI","BPSKDKAB","KAB_KOT","NCALON","NO","CALON KEPALA DAERAH","JENIS KELAMIN1","CALON WAKIL KEPALA DAERAH","JENIS KELAMIN2","SUARA FINAL","PCTSUARA","RANKING","MENANG","INCUMBENT","WAKIL INCUMBENT","PARTAI PENDUKUNG","MAJU LEWAT","KURSIPARTAI","PCTKURSI","PDIP","GOLKAR","GERINDRA","DEMOKRAT","PKB","NASDEM","PAN","PKS","PPP","HANURA","PBB","PKPI","PERINDO","BERKARYA","PSI","GARUDA","UMMAT","GELORA","BURUH","PKN","PKNU","PMB","PPDI","PARTAI ACEH (PA)","PARTAI NANGGROE ACEH (PNA)","PARTAI NASIONAL ACEH","PARTAI DARUL ACEH (PD ACEH)","PARTAI SIRA","PARTAI GENERASI ATJEH BEUSABOH THAAT DAN TAQWA","PARTAI ADIL SEJAHTERA ACEH","PARTAI DAMAI ACEH (PDA)","T1","T2","T3","T4","T5","PE2013","PE2014","PE2015","PE2016","PE2017","PE2018","PE2019","PE2020","PE2021","PE2022","INCUMBENTXT5","","","","",""
"PROV-19-1-2017","19","Gubernur","2017","19","KEPULAUAN BANGKA BELITUNG","","","4","1","Dr. H. Yusron Ihza, L.L.M.","L","H. Yusroni Yazid, S.E., M.M.","L","104693","19.102087138345","4","0","0","0","Demokrat, PPP, PBB","PARTAI","10","22.222222222222","0","0","0","3","0","0","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.2","4.67","4.08","4.1","4.47","5.2","4.67","4.08","4.1","4.47","4.45","3.32","-2.29","5.05","4.4","0","","","","KAB-1208-1-2020","45"
"PROV-19-1-2017","19","Gubernur","2017","19","KEPULAUAN BANGKA BELITUNG","","","4","2","H. Rustam Effendi, SE","L","H. Muhammad Irwansyah, S.Sos, M.Si","L","124369","22.692132953577","2","0","1","0","PDIP","PARTAI","11","24.444444444444","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.2","4.67","4.08","4.1","4.47","5.2","4.67","4.08","4.1","4.47","4.45","3.32","-2.29","5.05","4.4","4.47","","","","KAB-1209-1-2020","50"
"PROV-19-1-2017","19","Gubernur","2017","19","KEPULAUAN BANGKA BELITUNG","","","4","3","Hidayat Arsani","L","H. Sukirman, S.H.","L","105567","19.26155552839","3","0","0","1","Golkar, PKS, PAN, Hanura","PARTAI","16","35.555555555556","0","7","0","0","0","0","3","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.2","4.67","4.08","4.1","4.47","5.2","4.67","4.08","4.1","4.47","4.45","3.32","-2.29","5.05","4.4","0","","","","KAB-1210-1-2018","34"
"PROV-19-1-2017","19","Gubernur","2017","19","KEPULAUAN BANGKA BELITUNG","","","4","4","H. Erzaldi Rosman","L","Drs. H. Abdul Fatah, M.Si","L","213442","38.944224379688","1","1","0","0","Gerindra, Nasdem, PKB","PARTAI","8","17.777777777778","0","0","5","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.2","4.67","4.08","4.1","4.47","5.2","4.67","4.08","4.1","4.47","4.45","3.32","-2.29","5.05","4.4","0","","","","KAB-1211-1-2020","35"
"PROV-21-1-2020","21","Gubernur","2020","21","KEPULAUAN RIAU","","","3","1","Dr. H. M. Soerya Respationo, SH, MH","L","Iman Sutiawan, SE","L","183317","23.744802663109","3","0","0","0","PDIP, Gerindra, PKB","PARTAI","15","33.333333333333","8","0","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.98","1.98","4.47","4.83","-3.8","7.21","6.6","6.02","4.98","1.98","4.47","4.83","-3.8","3.43","5.09","-0","","","","KAB-1212-1-2018","46"
"PROV-21-1-2020","21","Gubernur","2020","21","KEPULAUAN RIAU","","","3","2","Isdianto, S.Sos, MM","L","Suryani, SE","P","280160","36.288745256013","2","0","1","0","PKS, Hanura, Demokrat","PARTAI","13","28.888888888889","0","0","0","4","0","0","0","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.98","1.98","4.47","4.83","-3.8","7.21","6.6","6.02","4.98","1.98","4.47","4.83","-3.8","3.43","5.09","-3.8","","","","KAB-1213-1-2018","50"
"PROV-21-1-2020","21","Gubernur","2020","21","KEPULAUAN RIAU","","","3","3","Ansar Ahmad, SE, MM","L","Marlin Agustina","P","308553","39.966452080878","1","1","0","0","Golkar, Nasdem, PAN, PPP","PARTAI","17","37.777777777778","0","8","0","0","0","6","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.98","1.98","4.47","4.83","-3.8","7.21","6.6","6.02","4.98","1.98","4.47","4.83","-3.8","3.43","5.09","-0","","","","KAB-1214-1-2020","35"
"PROV-31-1-2017","31","Gubernur","2017","31","DKI JAKARTA","","","3","1","Mayor Inf. (Purn.) Dr. H. Agus Harimurti Yudhoyono, M.Sc., M.P.A., M.A.","L","Prof. Dr. Hj. Sylviana Murni, S.H., M.Si.","P","937955","17.05414587449","3","0","0","0","Demokrat, PPP, PKB, PAN","PARTAI","28","26.415094339623","0","0","0","10","6","0","2","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.07","5.91","5.91","5.87","6.2","6.07","5.91","5.91","5.87","6.2","6.11","5.82","-2.39","3.55","5.25","0","","","","KAB-1215-1-2020","22"
"PROV-31-1-2017","31","Gubernur","2017","31","DKI JAKARTA","","","3","2","Ir. Basuki Tjahaja Purnama, M.M.","L","Drs. H. Djarot Saiful Hidayat, M.S.","L","2364577","42.99336438258","1","1","1","1","PDIP, Golkar, Hanura, Nasdem","PARTAI","52","49.056603773585","28","9","0","0","0","5","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.07","5.91","5.91","5.87","6.2","6.07","5.91","5.91","5.87","6.2","6.11","5.82","-2.39","3.55","5.25","6.2","","","","KAB-1216-1-2020","19"
"PROV-31-1-2017","31","Gubernur","2017","31","DKI JAKARTA","","","3","3","H. Anies Rasyid Baswedan, S.E., M.P.P., Ph.D.","L","Dr. H. Sandiaga Salahuddin Uno, B.B.A., M.B.A.","L","2197333","39.95248974293","2","0","0","0","PKS, Gerindra","PARTAI","26","24.528301886792","0","0","15","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.07","5.91","5.91","5.87","6.2","6.07","5.91","5.91","5.87","6.2","6.11","5.82","-2.39","3.55","5.25","0","","","","KAB-1217-1-2020","25"
